county,state,pop_county,area,num_county,pop_state
Grady,Georgia,26236,458,159,10711908
Greene,Georgia,18915,388,159,10711908
Gwinnett,Georgia,957062,433,159,10711908
Habersham,Georgia,46031,278,159,10711908
Hall,Georgia,203136,394,159,10711908
Hancock,Georgia,8735,473,159,10711908
Haralson,Georgia,29919,282,159,10711908
Harris,Georgia,34668,464,159,10711908
Hart,Georgia,25828,232,159,10711908
Heard,Georgia,11412,296,159,10711908
Henry,Georgia,240712,323,159,10711908
Houston,Georgia,163633,377,159,10711908
Irwin,Georgia,9666,357,159,10711908
Jackson,Georgia,75907,342,159,10711908
Jasper,Georgia,14588,370,159,10711908
Jeff Davis,Georgia,14779,333,159,10711908
Jefferson,Georgia,15709,528,159,10711908
Jenkins,Georgia,8674,350,159,10711908
Johnson,Georgia,9189,304,159,10711908
Jones,Georgia,28347,394,159,10711908
Lamar,Georgia,18500,185,159,10711908
Lanier,Georgia,9877,187,159,10711908
Laurens,Georgia,49570,813,159,10711908
Lee,Georgia,33163,356,159,10711908
Liberty,Georgia,65256,519,159,10711908
Lincoln,Georgia,7690,211,159,10711908
Long,Georgia,16168,401,159,10711908
Lowndes,Georgia,118251,504,159,10711908
Lumpkin,Georgia,33488,284,159,10711908
Macon,Georgia,12082,367,159,10711908
Madison,Georgia,30120,260,159,10711908
Marion,Georgia,7498,434,159,10711908
McDuffie,Georgia,21632,403,159,10711908
McIntosh,Georgia,10975,284,159,10711908
Meriwether,Georgia,20613,503,159,10711908
Miller,Georgia,6000,283,159,10711908
Mitchell,Georgia,21755,512,159,10711908
Monroe,Georgia,27957,396,159,10711908
Montgomery,Georgia,8610,245,159,10711908
Morgan,Georgia,20097,350,159,10711908
Murray,Georgia,39973,344,159,10711908
Muscogee,Georgia,206922,216,159,10711908
Newton,Georgia,112483,276,159,10711908
Oconee,Georgia,41799,186,159,10711908
Oglethorpe,Georgia,14825,441,159,10711908
Paulding,Georgia,168661,314,159,10711908
Peach,Georgia,27981,151,159,10711908
Pickens,Georgia,33216,232,159,10711908
Pierce,Georgia,19716,343,159,10711908
Pike,Georgia,18889,218,159,10711908
Polk,Georgia,42853,311,159,10711908
Pulaski,Georgia,9855,247,159,10711908
Putnam,Georgia,22047,344,159,10711908
Quitman,Georgia,2235,152,159,10711908
Rabun,Georgia,16883,371,159,10711908
Randolph,Georgia,6425,429,159,10711908
Richmond,Georgia,206607,324,159,10711908
Rockdale,Georgia,93570,131,159,10711908
Schley,Georgia,4547,168,159,10711908
Screven,Georgia,14067,648,159,10711908
Seminole,Georgia,9147,238,159,10711908
Spalding,Georgia,67306,198,159,10711908
Stephens,Georgia,26784,179,159,10711908
Stewart,Georgia,5314,459,159,10711908
Sumter,Georgia,29616,485,159,10711908
Talbot,Georgia,5733,393,159,10711908
Taliaferro,Georgia,1559,195,159,10711908
Tattnall,Georgia,22842,484,159,10711908
Taylor,Georgia,7816,378,159,10711908
Telfair,Georgia,12477,441,159,10711908
Terrell,Georgia,9185,336,159,10711908
Thomas,Georgia,45798,548,159,10711908
Tift,Georgia,41344,265,159,10711908
Toombs,Georgia,27030,367,159,10711908
Towns,Georgia,12493,166,159,10711908
Treutlen,Georgia,6406,201,159,10711908
Troup,Georgia,69426,414,159,10711908
Turner,Georgia,9006,286,159,10711908
Twiggs,Georgia,8022,360,159,10711908
Union,Georgia,24632,323,159,10711908
Upson,Georgia,27700,326,159,10711908
Walker,Georgia,67654,446,159,10711908
Walton,Georgia,96673,329,159,10711908
Ware,Georgia,36251,903,159,10711908
Warren,Georgia,5215,286,159,10711908
Washington,Georgia,19988,680,159,10711908
Wayne,Georgia,30144,645,159,10711908
Webster,Georgia,2348,210,159,10711908
Wheeler,Georgia,7471,298,159,10711908
White,Georgia,28003,242,159,10711908
Whitfield,Georgia,102864,290,159,10711908
Wilcox,Georgia,8766,380,159,10711908
Wilkes,Georgia,9565,471,159,10711908
Wilkinson,Georgia,8877,447,159,10711908
Worth,Georgia,20784,570,159,10711908
Hawaii,Hawaii,200629,4028,5,1455271
"Honolulu, City and County of",Hawaii,1016508,597,5,1455271
Kalawao,Hawaii,82,5.1999998,5,1455271
Kauai,Hawaii,73298,622,5,1455271
Maui,Hawaii,164754,1120,5,1455271
Ada,Idaho,494967,1055,44,1839106
Adams,Idaho,4379,1365,44,1839106
Bannock,Idaho,87018,1113,44,1839106
Bear Lake,Idaho,6372,971,44,1839106
Benewah,Idaho,9530,776,44,1839106
Bingham,Idaho,47992,2095,44,1839106
Blaine,Idaho,24272,2645,44,1839106
Boise,Idaho,7610,1902,44,1839106
Bonner,Idaho,47110,1738,44,1839106
Bonneville,Idaho,123964,1869,44,1839106
Boundary,Idaho,12056,1269,44,1839106
Butte,Idaho,2574,2233,44,1839106
Camas,Idaho,1077,1077,44,1839106
Canyon,Idaho,231105,590,44,1839106
Caribou,Idaho,7027,1766,44,1839106
Cassia,Idaho,24655,2567,44,1839106
Clark,Idaho,790,1765,44,1839106
Clearwater,Idaho,8734,2462,44,1839106
Custer,Idaho,4275,4926,44,1839106
Elmore,Idaho,28666,3078,44,1839106
Franklin,Idaho,14194,666,44,1839106
Fremont,Idaho,13388,1867,44,1839106
Gem,Idaho,19123,563,44,1839106
Gooding,Idaho,15598,731,44,1839106
Idaho,Idaho,16541,8485,44,1839106
Jefferson,Idaho,30891,1095,44,1839106
Jerome,Idaho,24237,600,44,1839106
Kootenai,Idaho,171362,1245,44,1839106
Latah,Idaho,39517,1077,44,1839106
Lemhi,Idaho,7974,4564,44,1839106
Lewis,Idaho,3533,479,44,1839106
Lincoln,Idaho,5127,1206,44,1839106
Madison,Idaho,52913,472,44,1839106
Minidoka,Idaho,21613,760,44,1839106
Nez Perce,Idaho,42090,849,44,1839106
Oneida,Idaho,4564,1200,44,1839106
Owyhee,Idaho,11913,7678,44,1839106
Payette,Idaho,25386,408,44,1839106
Power,Idaho,7878,1406,44,1839106
Shoshone,Idaho,13169,2634,44,1839106
Teton,Idaho,11630,450,44,1839106
Twin Falls,Idaho,90046,1925,44,1839106
Valley,Idaho,11746,3733,44,1839106
Washington,Idaho,10500,1456,44,1839106
Adams,Illinois,65737,855,102,12812508
Alexander,Illinois,5240,236,102,12812508
Bond,Illinois,16725,380,102,12812508
Boone,Illinois,53448,280,102,12812508
Brown,Illinois,6244,305,102,12812508
Bureau,Illinois,33244,869,102,12812508
Calhoun,Illinois,4437,253,102,12812508
Carroll,Illinois,15702,445,102,12812508
Cass,Illinois,13042,375,102,12812508
Champaign,Illinois,205865,996,102,12812508
Christian,Illinois,34032,709,102,12812508
Clark,Illinois,15455,501,102,12812508
Clay,Illinois,13288,468,102,12812508
Clinton,Illinois,36899,474,102,12812508
Coles,Illinois,46863,508,102,12812508
Cook,Illinois,5275541,944,102,12812508
Crawford,Illinois,18679,443,102,12812508
